interp parent	interp parent ?path?
interp policy	interp policy ?options? path script
interp proclimit	interp proclimit path ?limit?
interp queue	interp queue path ?options? arg ?arg ...?
interp readonly	interp readonly ?path? ?readonly?
interp readorgetscriptfile	interp readorgetscriptfile ?options? path fileName
interp readylimit	interp readylimit path ?limit?
interp recursionlimit	interp recursionlimit path ?limit?
interp rename	interp rename ?options? path oldName newName
interp resetcancel	interp resetcancel path ?options?
interp resultlimit	interp resultlimit path ?limit?
interp scopelimit	interp scopelimit path ?limit?
interp service	interp service path ?options?
interp set	interp set interp varName ?newValue?
interp shareinterp	interp shareinterp interp objectName
interp shareobject	interp shareobject interp objectName
interp sleeptime	interp sleeptime ?path? ?newValue?
interp source	interp source ?options? path fileName
interp stub	interp stub ?options? path name
interp subcommand	interp subcommand ?options? path cmdName subCmdName ?command?
interp subst	interp subst ?options? path string
interp target	interp target path alias
interp timeout	interp timeout ?path? ?newValue?
interp unset	interp unset interp varName
interp varlimit	interp varlimit path ?limit?
interp watchdog	interp watchdog ?path? ?enabled? ?flags? ?type?
invoke	invoke ?level? cmd ?arg ...?
join	join list ?joinString?
kill	kill ?-all? ?-force? ?--? process
lappend	lappend varName ?value ...?
lassign	lassign list varName ?varName ...?
lget	lget varName ?index ...?
library call	library call ?options? delegate ?arg ...?
library certificate	library certificate ?options? fileName
library checkload	library checkload ?options? fileName
library declare	library declare ?options?
library handle	library handle fileName
library info	#delegate module
library info delegate	library info delegate object
library info module	library info module object
library load	library load ?options? fileName
library matcharchitecture	library matcharchitecture fileName
library resolve	library resolve ?options? delegate
library test	library test ?fileName?
library undeclare	library undeclare delegate
library unload	library unload module
library unresolve	library unresolve ?options? delegate
library verifyarchitecture	library verifyarchitecture fileName
lindex	lindex list ?index ...?
linsert	linsert list index value ?value ...?
list	list ?arg arg ...?
llength	llength list
lmap	lmap varList list ?varList list ...? script
load	load ?options? fileName ?packageName? ?interp?
lrange	lrange list first last
lremove	lremove list index ?index...?
lrepeat	lrepeat count value ?value ...?
lreplace	lreplace list first last ?value ...?
lreverse	lreverse list
lsearch	lsearch ?options? list pattern
lset	lset varName index ?index...? value
lsort	lsort ?options? list
namespace children	namespace children ?name? ?pattern?
namespace code	namespace code script
namespace current	namespace current
namespace delete	namespace delete ?name name ...?
namespace descendants	namespace descendants ?name? ?pattern?
namespace enable	namespace enable ?enabled? ?force?
namespace eval	namespace eval name arg ?arg ...?
namespace exists	namespace exists name
namespace export	namespace export ?-clear? ?pattern pattern ...?
namespace forget	namespace forget ?pattern pattern ...?
namespace import	namespace import ?-force? ?pattern pattern ...?
namespace info	namespace info name
namespace inscope	namespace inscope name arg ?arg...?
namespace mappings	namespace mappings
namespace name	namespace name name
namespace origin	namespace origin name
namespace parent	namespace parent ?name?
namespace qualifiers	namespace qualifiers string
namespace rename	namespace rename oldName newName
namespace tail	namespace tail string
namespace unknown	namespace unknown ?script?
namespace which	namespace which ?-command? ?-variable? name
napply	napply lambdaExpr ?arg1 arg2 ...?
nop	nop
nproc	nproc name args body
object addreference	object addreference object
object alias	object alias ?options? object
object aliasnamespaces	object aliasnamespaces ?pattern?
object assemblies	object assemblies ?pattern?
object callbackflags	object callbackflags name ?flags?
object certificate	object certificate ?options? assembly
object cleanup	object cleanup ?options?
object create	object create ?options? typeName ?arg ...?
object declare	object declare ?options? ?name name ...?
object dispose	object dispose ?options? object ?object ...?
object exists	object exists object
object flags	object flags object ?flags?
object foreach	object foreach varName object body
object fromvar	object fromvar ?options? varName
object get	object get ?options? type url ?state?
object hash	object hash assembly
object import	object import ?options? ?name name ...?
object interfaces	object interfaces ?pattern?
object invoke	object invoke ?options? object member ?arg ...?
object invokeall	object invokeall ?options? object memberAndArgs ?memberAndArgs ...?
object invokeraw	object invokeraw ?options? object member ?arg ...?
object isnull	object isnull ?options? object
object isoftype	object isoftype ?options? object type
object list	object list ?pattern?
object lmap	object lmap varName object body
object load	object load ?options? assembly
object members	object members ?options? object
object namespaces	object namespaces ?pattern?
object referencecount	object referencecount object
object removecallback	object removecallback name
object removereference	object removereference object
object resolve	object resolve assembly
object search	object search ?options? typeName
object strongname	object strongname assembly
object type	object type ?options? ?fromName toName...? fromName toName
object types	object types ?pattern?
object unalias	object unalias object
object unaliasnamespace	object unaliasnamespace ?options?
object undeclare	object undeclare ?options?
object unimport	object unimport ?options?
object untype	object untype ?options?
object verifyall	object verifyall ?options?
open	open fileName ?access? ?permissions? ?type? ?options?
package absent	package absent ?-exact? package ?version?
package forget	package forget ?package package ...?
package ifneeded	package ifneeded package version ?script? ?flags?
package indexes	package indexes ?pattern?
package info	package info name
package loaded	package loaded ?pattern?
package names	package names ?pattern?
package pending	package pending ?name?
package present	package present ?-exact? package ?version?
package provide	package provide package ?version?
package relativefilename	package relativefilename fileName ?type?
package require	package require ?-exact? package ?version?
package reset	package reset
package scan	package scan ?options? ?dir dir ...?
package unknown	package unknown ?command?
package vcompare	package vcompare version1 version2
package versions	package versions package
package vloaded	package vloaded ?pattern?
package vsatisfies	package vsatisfies version1 version2
package vsort	package vsort version1 version2
package withdraw	package withdraw package ?version?
parse command	parse command ?options? text
parse expression	parse expression ?options? text
parse options	parse options ?options? optionList argumentList
parse script	parse script ?options? text
pid	pid ?channelId?
proc	proc name args body
puts	puts ?-nonewline? ?channelId? string
pwd	pwd
read	read ?options? channelId ?numChars?
regexp	regexp ?switches? exp string ?matchVar? ?subMatchVar subMatchVar ...?
regsub	regsub ?switches? exp string subSpec ?varName?
rename	rename ?options? oldName newName
return	return ?-code code? ?-errorinfo info? ?-errorcode code? ?string?
scope attach	scope attach name namespace
scope close	scope close ?options? ?name?
scope create	scope create ?options? ?name?
scope current	scope current
scope destroy	scope destroy name
scope detach	scope detach name namespace
scope eval	scope eval ?options? name arg ?arg ...?
scope exists	scope exists name
scope export	scope export name namespace
scope global	scope global ?options? ?name?
scope import	scope import name namespace
scope list	scope list ?pattern?
scope lock	scope lock ?options? name
scope open	scope open ?options? ?name?
scope set	scope set name varName ?value?
scope unlock	scope unlock ?options? name
scope unset	scope unset name varName
scope update	scope update ?options? ?name?
scope vars	scope vars name ?pattern?
seek	seek channelId offset ?origin?
set	set varName ?newValue?
setf	setf varFlags varName ?newValue?
socket	socket ?-myaddr addr? ?-myport myport? ?-async? host port
socket	socket -server command ?-myaddr addr? port
source	source ?options? fileName
split	split string ?splitChars? ?options?
sql close	sql close connection
sql connection	sql connection connection
sql execute	sql execute ?options? connection string ?{paramName ?paramType? ?paramValue? ?paramSize? ?paramValueFlags?} ...?
sql foreach	sql foreach ?options? connection string ?{paramName ?paramType? ?paramValue? ?paramSize? ?paramValueFlags?} ...? body
sql open	sql open ?options? connectionString
sql transaction	#begin commit rollback
sql transaction begin	sql transaction ?options? begin object
sql transaction commit	sql transaction ?options? commit object
sql transaction rollback	sql transaction ?options? rollback object
sql types	sql types ?pattern?
string bytelength	string bytelength string ?encoding?
string cat	string cat ?arg ...?
string character	string character integer
string classes	string classes
string compare	string compare ?options? string1 string2
string ends	string ends ?options? suffix string
string equal	string equal ?options? string1 string2
string first	string first ?options? needleString haystackString ?startIndex?
string format	string format format ?arg ...?
string index	string index string charIndex
string is	#array base64 boolean byte command datetime decimal dict directory double element encoding false file guid identifier integer interpreter list none number numeric object path plugin real scalar single timespan true type uri value variant version xml wideinteger alnum alpha ascii asciialnum asciialpha asciidigit control digit graph hexadecimal lower print punct reserved space upper wordchar xdigit
string is alnum	string is ?not? alnum ?-strict? ?-failindex varName? string
string is alpha	string is ?not? alpha ?-strict? ?-failindex varName? string
string is array	string is ?not? array ?-strict? ?-failindex varName? string
string is ascii	string is ?not? ascii ?-strict? ?-failindex varName? string
string is asciialnum	string is ?not? asciialnum ?-strict? ?-failindex varName? string
string is asciialpha	string is ?not? asciialpha ?-strict? ?-failindex varName? string
string is asciidigit	string is ?not? asciidigit ?-strict? ?-failindex varName? string
string is base64	string is ?not? base64 ?-strict? ?-failindex varName? string
string is boolean	string is ?not? boolean ?-strict? ?-failindex varName? string
string is byte	string is ?not? byte ?-strict? ?-failindex varName? string
string is command	string is ?not? command ?-strict? ?-failindex varName? string
string is control	string is ?not? control ?-strict? ?-failindex varName? string
string is datetime	string is ?not? datetime ?-strict? ?-failindex varName? string
string is decimal	string is ?not? decimal ?-strict? ?-failindex varName? string
string is dict	string is ?not? dict ?-strict? ?-failindex varName? string
string is digit	string is ?not? digit ?-strict? ?-failindex varName? string
string is directory	string is ?not? directory ?-strict? ?-failindex varName? string
string is double	string is ?not? double ?-strict? ?-failindex varName? string
string is element	string is ?not? element ?-strict? ?-failindex varName? string
string is encoding	string is ?not? encoding ?-strict? ?-failindex varName? string
string is false	string is ?not? false ?-strict? ?-failindex varName? string
string is file	string is ?not? file ?-strict? ?-failindex varName? string
string is graph	string is ?not? graph ?-strict? ?-failindex varName? string
string is guid	string is ?not? guid ?-strict? ?-failindex varName? string
string is hexadecimal	string is ?not? hexadecimal ?-strict? ?-failindex varName? string
string is identifier	string is ?not? identifier ?-strict? ?-failindex varName? string
string is integer	string is ?not? integer ?-strict? ?-failindex varName? string
string is interpreter	string is ?not? interpreter ?-strict? ?-failindex varName? string
string is list	string is ?not? list ?-strict? ?-failindex varName? string
string is lower	string is ?not? lower ?-strict? ?-failindex varName? string
string is none	string is ?not? none ?-strict? ?-failindex varName? string
string is number	string is ?not? number ?-strict? ?-failindex varName? string
string is numeric	string is ?not? numeric ?-strict? ?-failindex varName? string
string is object	string is ?not? object ?-strict? ?-failindex varName? string
string is path	string is ?not? path ?-strict? ?-failindex varName? string
string is plugin	string is ?not? plugin ?-strict? ?-failindex varName? string
string is print	string is ?not? print ?-strict? ?-failindex varName? string
string is punct	string is ?not? punct ?-strict? ?-failindex varName? string
string is real	string is ?not? real ?-strict? ?-failindex varName? string
string is reserved	string is ?not? reserved ?-strict? ?-failindex varName? string
string is scalar	string is ?not? scalar ?-strict? ?-failindex varName? string
string is single	string is ?not? single ?-strict? ?-failindex varName? string
string is space	string is ?not? space ?-strict? ?-failindex varName? string
string is timespan	string is ?not? timespan ?-strict? ?-failindex varName? string
string is true	string is ?not? true ?-strict? ?-failindex varName? string
string is type	string is ?not? type ?-strict? ?-failindex varName? string
string is upper	string is ?not? upper ?-strict? ?-failindex varName? string
string is uri	string is ?not? uri ?-strict? ?-failindex varName? string
string is value	string is ?not? value ?-strict? ?-failindex varName? string
string is variant	string is ?not? variant ?-strict? ?-failindex varName? string
string is version	string is ?not? version ?-strict? ?-failindex varName? string
string is wideinteger	string is ?not? wideinteger ?-strict? ?-failindex varName? string
string is wordchar	string is ?not? wordchar ?-strict? ?-failindex varName? string
string is xdigit	string is ?not? xdigit ?-strict? ?-failindex varName? string
string is xml	string is ?not? xml ?-strict? ?-failindex varName? string
string last	string last ?options? needleString haystackString ?startIndex?
string length	string length string
string map	string map ?options? charMap string
string match	string match ?options? pattern string
string ordinal	string ordinal string charIndex
string range	string range string first last
string repeat	string repeat string count
string replace	string replace string first last ?string?
string reverse	string reverse string
string starts	string starts ?options? prefix string
string tolower	string tolower ?options? string ?first? ?last?
string totitle	string totitle ?options? string ?first? ?last?
string toupper	string toupper ?options? string ?first? ?last?
string trim	string trim string ?chars?
string trimleft	string trimleft string ?chars?
string trimright	string trimright string ?chars?
string wordend	string wordend string index
string wordstart	string wordstart string index
subst	subst ?-nobackslashes? ?-nocommands? ?-novariables? string
switch	switch ?switches? string {pattern body ... ?default body?}
switch	switch ?switches? string pattern body ... ?default body?
tcl active	tcl active interp
tcl available	tcl available ?options? ?path? ?pattern?
tcl build	tcl build
tcl cancel	tcl cancel ?options? path ?result?
tcl canceled	tcl canceled interp
tcl command	#create delete exists list
tcl command create	tcl command create ?options? srcCmd interp targetCmd
tcl command delete	tcl command delete interp targetCmd
tcl command exists	tcl command exists interp targetCmd
tcl command list	tcl command list ?pattern?
tcl complete	tcl complete command
tcl convert	tcl convert interp string type
tcl create	tcl create ?options?
tcl delete	tcl delete interp
tcl errorline	tcl errorline interp ?line?
tcl eval	tcl eval ?options? interp arg ?arg ...?
tcl exceptions	tcl exceptions ?exceptions?
tcl exists	tcl exists interp
tcl expr	tcl expr ?options? interp arg ?arg ...?
tcl find	tcl find ?options? ?path? ?pattern?
tcl interps	tcl interps ?pattern?
tcl load	tcl load ?options? ?path?
tcl module	tcl module ?full?
tcl preserve	tcl preserve interp
tcl primary	tcl primary
tcl queue	tcl queue ?options? interp arg ?arg ...?
tcl ready	tcl ready ?interp?
tcl recordandeval	tcl recordandeval ?options? interp arg ?arg ...?
tcl release	tcl release interp
tcl resetcancel	tcl resetcancel ?options? interp
tcl result	tcl result interp
tcl select	tcl select ?options? ?path?
tcl set	tcl set interp varName ?newValue?
tcl source	tcl source ?options? interp fileName
tcl subst	tcl subst ?options? interp string
tcl threads	tcl threads ?pattern?
tcl types	tcl types interp
tcl unload	tcl unload
tcl unset	tcl unset interp varName
tcl update	tcl update ?options?
tcl versionrange	tcl versionrange ?options?
tell	tell channelId
test1	test1 name description constraints body result
test2	test2 name description ?options?
throw	throw message ?returnCode? ?innerException?
time	time script ?count? ?options?
truncate	truncate channelId ?length?
try	try script ?finally script?
unload	unload ?options? fileName ?packageName? ?interp?
unset	unset ?options? ?varName varName ...?
unsetf	unsetf varFlags ?varName varName ...?
update	update ?mask?
uplevel	uplevel ?level? arg ?arg ...?
upvar	upvar ?level? otherVar localVar ?otherVar localVar ...?
uri compare	uri compare ?options? uri1 uri2
uri create	uri create scheme host ?options?
uri download	uri download ?options? uri ?argument?
uri escape	uri escape type string
uri get	uri get ?options? uri ?argument?
uri host	uri host uri
uri isvalid	uri isvalid uri ?kind?
uri join	uri join name ?name ...?
uri offline	uri offline ?enabled?
uri parse	uri parse uri
uri ping	uri ping hostOrUri timeout
uri post	uri post ?options? uri ?argument?
uri scheme	uri scheme name
uri security	uri security
uri softwareupdates	uri softwareupdates ?trusted? ?exclusive?
uri time	uri time
uri unescape	uri unescape string
uri upload	uri upload ?options? uri ?argument?
variable	variable ?name value...? name ?value?
version	version ?flags?
vwait	vwait ?options? varName
while	while test script
xml deserialize	xml deserialize ?options? type xml
xml foreach	xml foreach ?options? varName xml body
xml serialize	xml serialize ?options? type object
xml validate	xml validate schemaXml documentXml
